-5;32;0;-4;2;11;3;-9;-18;-25;-31;-11;-5;-31;-31;-39
0;32;4;-3;0;5;6;-10;-15;-20;-27;-15;-12;-33;-34;-39
4;32;8;-2;-1;-4;8;-11;-12;-15;-22;-23;-24;-35;-39;-39
11;32;14;1;-3;-14;12;-11;-8;-8;-15;-30;-36;-36;-43;-38
11;32;14;1;-3;-11;12;-11;-8;-8;-16;-28;-32;-36;-42;-39
16;32;18;2;-3;-16;14;-12;-5;-3;-11;-32;-38;-37;-45;-38
-8;33;-2;-5;2;14;2;-8;-20;-29;-34;-8;-1;-30;-29;-39
-2;32;2;-4;1;7;4;-9;-16;-23;-29;-14;-9;-32;-33;-39
4;32;8;-2;-1;-4;8;-11;-12;-15;-22;-23;-24;-35;-39;-39
13;32;16;1;-3;-18;13;-12;-6;-6;-14;-33;-41;-37;-45;-38
13;32;16;1;-3;-14;12;-12;-7;-6;-14;-30;-36;-37;-44;-39
18;31;20;3;-4;-20;15;-12;-3;0;-9;-35;-42;-38;-47;-38
